iter	Passed	Remaining
433	1670	4104
434	1674	4100
435	1678	4097
436	1683	4093
437	1684	4084
438	1688	4080
439	1692	4078
440	1696	4074
441	1700	4070
442	1705	4068
443	1709	4064
444	1712	4061
445	1717	4058
446	1721	4056
447	1725	4052
448	1729	4049
449	1734	4046
450	1738	4042
451	1742	4039
452	1743	4029
453	1747	4026
454	1751	4023
455	1756	4020
456	1760	4017
457	1764	4014
458	1769	4012
459	1773	4009
460	1777	4006
461	1782	4003
462	1786	4002
463	1791	3999
464	1795	3995
465	1799	3993
466	1804	3991
467	1808	3988
468	1813	3986
469	1819	3986
470	1823	3984
471	1829	3983
472	1834	3982
473	1839	3981
474	1844	3979
475	1848	3976
476	1852	3973
477	1857	3971
478	1862	3970
479	1868	3969
480	1872	3966
481	1877	3964
482	1881	3961
483	1886	3959
484	1890	3956
485	1894	3952
486	1898	3949
487	1903	3946
488	1907	3944
489	1911	3940
490	1915	3936
491	1919	3933
492	1923	3929
493	1928	3926
494	1932	3923
495	1936	3919
496	1940	3915
497	1944	3911
498	1948	3908
499	1952	3904
500	1956	3901
501	1960	3897
502	1964	3893
503	1968	3889
504	1972	3885
505	1975	3881
506	1980	3878
507	1984	3875
508	1988	3871
509	1992	3868
510	1997	3865
511	2001	3861
512	2004	3857
513	2009	3854
514	2013	3850
515	2017	3846
516	2021	3844
517	2026	3842
518	2031	3840
519	2036	3837
520	2040	3834
521	2045	3833
522	2051	3831
523	2056	3829
524	2060	3827
525	2064	3823
526	2069	3820
527	2073	3817
528	2078	3814
529	2082	3811
530	2088	3810
531	2092	3807
532	2097	3805
533	2102	3803
534	2107	3801
535	2112	3799
536	2116	3796
537	2122	3794
538	2126	3791
539	2131	3789
540	2136	3786
541	2140	3783
542	2145	3780
543	2150	3778
544	2155	3777
545	2160	3774
546	2164	3771
547	2170	3770
548	2186	3788
549	2191	3785
550	2196	3783
551	2201	3780
552	2205	3776
553	2209	3773
554	2214	3771
555	2219	3767
556	2223	3763
557	2228	3761
558	2232	3758
559	2237	3755
560	2242	3753
561	2247	3750
562	2252	3748
563	2256	3745
564	2261	3742
565	2266	3739
566	2270	3736
567	2275	3732
568	2279	3730
569	2284	3727
570	2288	3723
571	2293	3720
572	2297	3717
573	2302	3714
574	2307	3712
575	2313	3711
576	2317	3707
577	2322	3704
578	2326	3701
579	2331	3698
580	2335	3694
581	2339	3690
582	2344	3687
583	2348	3683
584	2353	3681
585	2358	3677
586	2362	3674
587	2367	3671
588	2373	3670
589	2378	3668
590	2383	3666
591	2387	3662
592	2392	3659
593	2397	3657
594	2402	3654
595	2407	3652
596	2412	3649
597	2417	3646
598	2422	3643
599	2426	3640
600	2442	3653
601	2450	3656
602	2458	3657
603	2467	3660
604	2473	3658
605	2482	3662
606	2488	3661
607	2501	3669
608	2511	3674
609	2517	3673
610	2523	3671
611	2528	3669
612	2534	3667
613	2540	3665
614	2545	3663
615	2550	3660
616	2555	3657
617	2559	3653
618	2563	3649
619	2568	3645
620	2572	3641
621	2576	3637
622	2580	3633
623	2583	3626
624	2587	3622
625	2591	3618
626	2595	3614
627	2601	3611
628	2605	3607
629	2608	3602
630	2613	3599
631	2617	3595
632	2622	3591
633	2626	3587
634	2631	3584
635	2635	3580
636	2641	3578
637	2648	3577
638	2653	3575
639	2659	3573
640	2664	3570
641	2669	3567
642	2674	3564
643	2678	3560
644	2683	3557
645	2688	3553
646	2693	3550
647	2697	3546
648	2701	3542
649	2706	3538
650	2710	3534
651	2715	3531
652	2719	3527
653	2724	3523
654	2728	3519
655	2732	3515
656	2736	3511
657	2740	3506
658	2744	3502
659	2748	3498
660	2752	3493
661	2756	3489
662	2760	3485
663	2765	3481
664	2769	3477
665	2773	3472
666	2777	3468
667	2781	3464
668	2785	3460
669	2789	3455
670	2794	3453
671	2795	3444
672	2800	3440
673	2804	3436
674	2808	3433
675	2814	3430
676	2819	3427
677	2823	3423
678	2827	3419
679	2832	3415
680	2836	3411
681	2841	3407
682	2845	3403
683	2849	3399
684	2854	3395
685	2858	3391
686	2862	3387
687	2866	3382
688	2870	3378
689	2874	3374
690	2878	3369
691	2882	3365
692	2886	3361
693	2890	3357
694	2894	3352
695	2898	3348
696	2902	3344
697	2906	3339
698	2911	3336
699	2915	3331
700	2919	3327
701	2924	3324
702	2928	3319
703	2932	3315
704	2936	3311
705	2940	3307
706	2944	3302
707	2948	3298
708	2952	3294
709	2957	3290
710	2961	3286
711	2965	3282
712	2970	3278
713	2975	3275
714	2979	3271
715	2983	3267
716	2989	3264
717	2993	3260
718	2998	3256
719	3002	3252
720	3012	3254
721	3017	3251
722	3022	3247
723	3028	3245
724	3032	3242
725	3037	3238
726	3042	3235
727	3049	3233
728	3054	3230
729	3059	3226
730	3064	3223
731	3069	3220
732	3070	3212
733	3075	3209
734	3079	3205
735	3084	3202
736	3089	3198
737	3095	3195
738	3099	3192
739	3105	3189
740	3109	3185
741	3115	3182
742	3121	3180
743	3127	3177
744	3131	3173
745	3136	3169
746	3141	3166
